Index,factionsInGame,Factions.1,Factions.2,Factions.3,Factions.4,Factions.5,Factions.6,Factions.7,Factions.8
7394,"Sardakk N'orr, Mentak Coalition, Arborec, Yssaril Tribes, Argent Flight, Titans of Ul","Sardakk N'orr"," Mentak Coalition"," Arborec"," Yssaril Tribes"," Argent Flight"," Titans of Ul","",""
7420,"Embers of Muaat, Yin Brotherhood, Universities of Jol-Nar, Clan of Saar, Argent Flight, Titans of Ul","Embers of Muaat"," Yin Brotherhood"," Universities of Jol-Nar"," Clan of Saar"," Argent Flight"," Titans of Ul","",""
7427,"Yin Brotherhood, Ghosts of Creuss, Xxcha Kingdom, Yssaril Tribes, Embers of Muaat, Titans of Ul","Yin Brotherhood"," Ghosts of Creuss"," Xxcha Kingdom"," Yssaril Tribes"," Embers of Muaat"," Titans of Ul","",""
7494,"Empyrean, Yssaril Tribes, Emirates of Hacan, Naalu Collective, Arborec, Titans of Ul","Empyrean"," Yssaril Tribes"," Emirates of Hacan"," Naalu Collective"," Arborec"," Titans of Ul","",""
7496,"Naaz-Rokha Alliance, Mahact Gene-Sorcerers, L1Z1X Mindnet, Nekro Virus, Nomad, Titans of Ul","Naaz-Rokha Alliance"," Mahact Gene-Sorcerers"," L1Z1X Mindnet"," Nekro Virus"," Nomad"," Titans of Ul","",""
7525,"Barony of Letnev, Argent Flight, Nekro Virus, Embers of Muaat, Mentak Coalition, Titans of Ul","Barony of Letnev"," Argent Flight"," Nekro Virus"," Embers of Muaat"," Mentak Coalition"," Titans of Ul","",""
7529,"Sardakk N'orr, Nomad, Clan of Saar, Yin Brotherhood, Vuil'raith Cabal, Titans of Ul","Sardakk N'orr"," Nomad"," Clan of Saar"," Yin Brotherhood"," Vuil'raith Cabal"," Titans of Ul","",""
7538,"Barony of Letnev, Embers of Muaat, Winnu, Vuil'raith Cabal, Nomad, Titans of Ul","Barony of Letnev"," Embers of Muaat"," Winnu"," Vuil'raith Cabal"," Nomad"," Titans of Ul","",""
7539,"Mahact Gene-Sorcerers, Emirates of Hacan, L1Z1X Mindnet, Embers of Muaat, Nekro Virus, Titans of Ul","Mahact Gene-Sorcerers"," Emirates of Hacan"," L1Z1X Mindnet"," Embers of Muaat"," Nekro Virus"," Titans of Ul","",""
7553,"Universities of Jol-Nar, Barony of Letnev, Nomad, Ghosts of Creuss, Naaz-Rokha Alliance, Titans of Ul","Universities of Jol-Nar"," Barony of Letnev"," Nomad"," Ghosts of Creuss"," Naaz-Rokha Alliance"," Titans of Ul","",""
7565,"Mahact Gene-Sorcerers, Ghosts of Creuss, Arborec, Xxcha Kingdom, L1Z1X Mindnet, Titans of Ul","Mahact Gene-Sorcerers"," Ghosts of Creuss"," Arborec"," Xxcha Kingdom"," L1Z1X Mindnet"," Titans of Ul","",""
7566,"Nekro Virus, Naaz-Rokha Alliance, Mentak Coalition, Emirates of Hacan, Winnu, Titans of Ul","Nekro Virus"," Naaz-Rokha Alliance"," Mentak Coalition"," Emirates of Hacan"," Winnu"," Titans of Ul","",""
7573,"Federation of Sol, Sardakk N'orr, Clan of Saar, Keleres ~ Mentak, Argent Flight, Titans of Ul","Federation of Sol"," Sardakk N'orr"," Clan of Saar"," Keleres ~ Mentak"," Argent Flight"," Titans of Ul","",""
7577,"Naaz-Rokha Alliance, Nomad, Emirates of Hacan, Naalu Collective, Universities of Jol-Nar, Titans of Ul","Naaz-Rokha Alliance"," Nomad"," Emirates of Hacan"," Naalu Collective"," Universities of Jol-Nar"," Titans of Ul","",""
7634,"Winnu, Sardakk N'orr, Argent Flight, Empyrean, Federation of Sol, Titans of Ul","Winnu"," Sardakk N'orr"," Argent Flight"," Empyrean"," Federation of Sol"," Titans of Ul","",""
7685,"Empyrean, L1Z1X Mindnet, Federation of Sol, Clan of Saar, Emirates of Hacan, Titans of Ul","Empyrean"," L1Z1X Mindnet"," Federation of Sol"," Clan of Saar"," Emirates of Hacan"," Titans of Ul","",""
7801,"Naalu Collective, Emirates of Hacan, Empyrean, Yssaril Tribes, Embers of Muaat, Titans of Ul","Naalu Collective"," Emirates of Hacan"," Empyrean"," Yssaril Tribes"," Embers of Muaat"," Titans of Ul","",""
7814,"Empyrean, Keleres ~ Mentak, Naaz-Rokha Alliance, Nomad, Arborec, Titans of Ul","Empyrean"," Keleres ~ Mentak"," Naaz-Rokha Alliance"," Nomad"," Arborec"," Titans of Ul","",""
7837,"Xxcha Kingdom, Nekro Virus, Sardakk N'orr, Naalu Collective, Empyrean, Titans of Ul","Xxcha Kingdom"," Nekro Virus"," Sardakk N'orr"," Naalu Collective"," Empyrean"," Titans of Ul","",""
7844,"Universities of Jol-Nar, Sardakk N'orr, Barony of Letnev, Vuil'raith Cabal, Naaz-Rokha Alliance, Titans of Ul","Universities of Jol-Nar"," Sardakk N'orr"," Barony of Letnev"," Vuil'raith Cabal"," Naaz-Rokha Alliance"," Titans of Ul","",""
7865,"Argent Flight, L1Z1X Mindnet, Winnu, Vuil'raith Cabal, Nekro Virus, Titans of Ul","Argent Flight"," L1Z1X Mindnet"," Winnu"," Vuil'raith Cabal"," Nekro Virus"," Titans of Ul","",""
7874,"Clan of Saar, Arborec, Sardakk N'orr, Emirates of Hacan, Xxcha Kingdom, Titans of Ul","Clan of Saar"," Arborec"," Sardakk N'orr"," Emirates of Hacan"," Xxcha Kingdom"," Titans of Ul","",""
7879,"Federation of Sol, Mentak Coalition, Xxcha Kingdom, Embers of Muaat, Nomad, Titans of Ul","Federation of Sol"," Mentak Coalition"," Xxcha Kingdom"," Embers of Muaat"," Nomad"," Titans of Ul","",""
7984,"Naaz-Rokha Alliance, Sardakk N'orr, Arborec, Emirates of Hacan, Mahact Gene-Sorcerers, Titans of Ul","Naaz-Rokha Alliance"," Sardakk N'orr"," Arborec"," Emirates of Hacan"," Mahact Gene-Sorcerers"," Titans of Ul","",""
7999,"Federation of Sol, Mahact Gene-Sorcerers, Xxcha Kingdom, Arborec, Clan of Saar, Titans of Ul","Federation of Sol"," Mahact Gene-Sorcerers"," Xxcha Kingdom"," Arborec"," Clan of Saar"," Titans of Ul","",""
8013,"Mentak Coalition, Yin Brotherhood, Sardakk N'orr, Mahact Gene-Sorcerers, Naalu Collective, Titans of Ul","Mentak Coalition"," Yin Brotherhood"," Sardakk N'orr"," Mahact Gene-Sorcerers"," Naalu Collective"," Titans of Ul","",""
8027,"Ghosts of Creuss, Yin Brotherhood, Universities of Jol-Nar, Mentak Coalition, Nekro Virus, Titans of Ul","Ghosts of Creuss"," Yin Brotherhood"," Universities of Jol-Nar"," Mentak Coalition"," Nekro Virus"," Titans of Ul","",""
8062,"Naalu Collective, Arborec, Nomad, Nekro Virus, Yin Brotherhood, Titans of Ul","Naalu Collective"," Arborec"," Nomad"," Nekro Virus"," Yin Brotherhood"," Titans of Ul","",""
8148,"Nomad, Barony of Letnev, Naaz-Rokha Alliance, Xxcha Kingdom, Argent Flight, Titans of Ul","Nomad"," Barony of Letnev"," Naaz-Rokha Alliance"," Xxcha Kingdom"," Argent Flight"," Titans of Ul","",""
8161,"Vuil'raith Cabal, Emirates of Hacan, Nekro Virus, L1Z1X Mindnet, Argent Flight, Titans of Ul","Vuil'raith Cabal"," Emirates of Hacan"," Nekro Virus"," L1Z1X Mindnet"," Argent Flight"," Titans of Ul","",""
8162,"Barony of Letnev, Empyrean, Xxcha Kingdom, Federation of Sol, Nekro Virus, Titans of Ul","Barony of Letnev"," Empyrean"," Xxcha Kingdom"," Federation of Sol"," Nekro Virus"," Titans of Ul","",""
8173,"Naaz-Rokha Alliance, Empyrean, Embers of Muaat, Vuil'raith Cabal, Naalu Collective, Titans of Ul","Naaz-Rokha Alliance"," Empyrean"," Embers of Muaat"," Vuil'raith Cabal"," Naalu Collective"," Titans of Ul","",""
8184,"Argent Flight, Ghosts of Creuss, Naaz-Rokha Alliance, Xxcha Kingdom, Nomad, Titans of Ul","Argent Flight"," Ghosts of Creuss"," Naaz-Rokha Alliance"," Xxcha Kingdom"," Nomad"," Titans of Ul","",""
8195,"Sardakk N'orr, Argent Flight, Xxcha Kingdom, Winnu, Naalu Collective, Titans of Ul","Sardakk N'orr"," Argent Flight"," Xxcha Kingdom"," Winnu"," Naalu Collective"," Titans of Ul","",""
8274,"Arborec, Universities of Jol-Nar, Argent Flight, Keleres ~ Mentak, Yssaril Tribes, Titans of Ul","Arborec"," Universities of Jol-Nar"," Argent Flight"," Keleres ~ Mentak"," Yssaril Tribes"," Titans of Ul","",""
8329,"Naalu Collective, Emirates of Hacan, Clan of Saar, Mahact Gene-Sorcerers, Mentak Coalition, Titans of Ul","Naalu Collective"," Emirates of Hacan"," Clan of Saar"," Mahact Gene-Sorcerers"," Mentak Coalition"," Titans of Ul","",""
8352,"Sardakk N'orr, Argent Flight, Emirates of Hacan, Federation of Sol, Keleres ~ Mentak, Titans of Ul","Sardakk N'orr"," Argent Flight"," Emirates of Hacan"," Federation of Sol"," Keleres ~ Mentak"," Titans of Ul","",""
8355,"Naalu Collective, Universities of Jol-Nar, Naaz-Rokha Alliance, Mahact Gene-Sorcerers, Keleres ~ Mentak, Titans of Ul","Naalu Collective"," Universities of Jol-Nar"," Naaz-Rokha Alliance"," Mahact Gene-Sorcerers"," Keleres ~ Mentak"," Titans of Ul","",""
8373,"Mahact Gene-Sorcerers, Clan of Saar, Vuil'raith Cabal, Yssaril Tribes, Xxcha Kingdom, Titans of Ul","Mahact Gene-Sorcerers"," Clan of Saar"," Vuil'raith Cabal"," Yssaril Tribes"," Xxcha Kingdom"," Titans of Ul","",""
8416,"Embers of Muaat, Federation of Sol, Clan of Saar, Xxcha Kingdom, Keleres ~ Mentak, Titans of Ul","Embers of Muaat"," Federation of Sol"," Clan of Saar"," Xxcha Kingdom"," Keleres ~ Mentak"," Titans of Ul","",""
8460,"Naaz-Rokha Alliance, Emirates of Hacan, Nekro Virus, Xxcha Kingdom, Vuil'raith Cabal, Titans of Ul","Naaz-Rokha Alliance"," Emirates of Hacan"," Nekro Virus"," Xxcha Kingdom"," Vuil'raith Cabal"," Titans of Ul","",""
8465,"Yssaril Tribes, Universities of Jol-Nar, Sardakk N'orr, Nekro Virus, L1Z1X Mindnet, Titans of Ul","Yssaril Tribes"," Universities of Jol-Nar"," Sardakk N'orr"," Nekro Virus"," L1Z1X Mindnet"," Titans of Ul","",""
8476,"Barony of Letnev, Xxcha Kingdom, Clan of Saar, Mentak Coalition, Embers of Muaat, Titans of Ul","Barony of Letnev"," Xxcha Kingdom"," Clan of Saar"," Mentak Coalition"," Embers of Muaat"," Titans of Ul","",""
8479,"Nomad, Argent Flight, Barony of Letnev, Ghosts of Creuss, Universities of Jol-Nar, Titans of Ul","Nomad"," Argent Flight"," Barony of Letnev"," Ghosts of Creuss"," Universities of Jol-Nar"," Titans of Ul","",""
8480,"Vuil'raith Cabal, Nekro Virus, Federation of Sol, Clan of Saar, Universities of Jol-Nar, Titans of Ul","Vuil'raith Cabal"," Nekro Virus"," Federation of Sol"," Clan of Saar"," Universities of Jol-Nar"," Titans of Ul","",""
8484,"Keleres ~ Mentak, L1Z1X Mindnet, Naalu Collective, Sardakk N'orr, Universities of Jol-Nar, Titans of Ul","Keleres ~ Mentak"," L1Z1X Mindnet"," Naalu Collective"," Sardakk N'orr"," Universities of Jol-Nar"," Titans of Ul","",""
8516,"Nomad, Universities of Jol-Nar, Embers of Muaat, Sardakk N'orr, Federation of Sol, Titans of Ul","Nomad"," Universities of Jol-Nar"," Embers of Muaat"," Sardakk N'orr"," Federation of Sol"," Titans of Ul","",""
8529,"Universities of Jol-Nar, L1Z1X Mindnet, Nomad, Vuil'raith Cabal, Naalu Collective, Titans of Ul","Universities of Jol-Nar"," L1Z1X Mindnet"," Nomad"," Vuil'raith Cabal"," Naalu Collective"," Titans of Ul","",""
8530,"Xxcha Kingdom, Empyrean, Vuil'raith Cabal, Federation of Sol, Mahact Gene-Sorcerers, Titans of Ul","Xxcha Kingdom"," Empyrean"," Vuil'raith Cabal"," Federation of Sol"," Mahact Gene-Sorcerers"," Titans of Ul","",""
8561,"Naalu Collective, Ghosts of Creuss, Mahact Gene-Sorcerers, Naaz-Rokha Alliance, Universities of Jol-Nar, Titans of Ul","Naalu Collective"," Ghosts of Creuss"," Mahact Gene-Sorcerers"," Naaz-Rokha Alliance"," Universities of Jol-Nar"," Titans of Ul","",""
8563,"Argent Flight, Federation of Sol, Nekro Virus, Ghosts of Creuss, Naaz-Rokha Alliance, Titans of Ul","Argent Flight"," Federation of Sol"," Nekro Virus"," Ghosts of Creuss"," Naaz-Rokha Alliance"," Titans of Ul","",""
8579,"Embers of Muaat, Yin Brotherhood, Keleres ~ Xxcha, Naaz-Rokha Alliance, Federation of Sol, Titans of Ul","Embers of Muaat"," Yin Brotherhood"," Keleres ~ Xxcha"," Naaz-Rokha Alliance"," Federation of Sol"," Titans of Ul","",""
8581,"Ghosts of Creuss, Nekro Virus, Nomad, Yssaril Tribes, Federation of Sol, Titans of Ul","Ghosts of Creuss"," Nekro Virus"," Nomad"," Yssaril Tribes"," Federation of Sol"," Titans of Ul","",""
8612,"Ghosts of Creuss, Sardakk N'orr, Xxcha Kingdom, Nomad, Empyrean, Titans of Ul","Ghosts of Creuss"," Sardakk N'orr"," Xxcha Kingdom"," Nomad"," Empyrean"," Titans of Ul","",""
8628,"Empyrean, Emirates of Hacan, Arborec, Argent Flight, Embers of Muaat, Titans of Ul","Empyrean"," Emirates of Hacan"," Arborec"," Argent Flight"," Embers of Muaat"," Titans of Ul","",""
8651,"Yssaril Tribes, Naaz-Rokha Alliance, Argent Flight, Keleres ~ Mentak, Mahact Gene-Sorcerers, Titans of Ul","Yssaril Tribes"," Naaz-Rokha Alliance"," Argent Flight"," Keleres ~ Mentak"," Mahact Gene-Sorcerers"," Titans of Ul","",""
8673,"Sardakk N'orr, L1Z1X Mindnet, Arborec, Naaz-Rokha Alliance, Federation of Sol, Titans of Ul","Sardakk N'orr"," L1Z1X Mindnet"," Arborec"," Naaz-Rokha Alliance"," Federation of Sol"," Titans of Ul","",""
8687,"Naaz-Rokha Alliance, Sardakk N'orr, Winnu, Clan of Saar, Universities of Jol-Nar, Titans of Ul","Naaz-Rokha Alliance"," Sardakk N'orr"," Winnu"," Clan of Saar"," Universities of Jol-Nar"," Titans of Ul","",""
8724,"Arborec, Mahact Gene-Sorcerers, Naalu Collective, Nomad, Emirates of Hacan, Titans of Ul","Arborec"," Mahact Gene-Sorcerers"," Naalu Collective"," Nomad"," Emirates of Hacan"," Titans of Ul","",""
8731,"Ghosts of Creuss, Arborec, Barony of Letnev, Emirates of Hacan, Xxcha Kingdom, Titans of Ul","Ghosts of Creuss"," Arborec"," Barony of Letnev"," Emirates of Hacan"," Xxcha Kingdom"," Titans of Ul","",""
8792,"Federation of Sol, Arborec, Clan of Saar, Mentak Coalition, Naaz-Rokha Alliance, Titans of Ul","Federation of Sol"," Arborec"," Clan of Saar"," Mentak Coalition"," Naaz-Rokha Alliance"," Titans of Ul","",""
8849,"Yin Brotherhood, Argent Flight, Sardakk N'orr, Nekro Virus, Ghosts of Creuss, Titans of Ul","Yin Brotherhood"," Argent Flight"," Sardakk N'orr"," Nekro Virus"," Ghosts of Creuss"," Titans of Ul","",""
8885,"Xxcha Kingdom, Yin Brotherhood, Nekro Virus, Yssaril Tribes, Nomad, Titans of Ul","Xxcha Kingdom"," Yin Brotherhood"," Nekro Virus"," Yssaril Tribes"," Nomad"," Titans of Ul","",""
8888,"Yssaril Tribes, Vuil'raith Cabal, Federation of Sol, Nekro Virus, Universities of Jol-Nar, Titans of Ul","Yssaril Tribes"," Vuil'raith Cabal"," Federation of Sol"," Nekro Virus"," Universities of Jol-Nar"," Titans of Ul","",""
8915,"Xxcha Kingdom, Keleres ~ Mentak, Embers of Muaat, Yssaril Tribes, Clan of Saar, Titans of Ul","Xxcha Kingdom"," Keleres ~ Mentak"," Embers of Muaat"," Yssaril Tribes"," Clan of Saar"," Titans of Ul","",""
8917,"Xxcha Kingdom, Yin Brotherhood, Empyrean, Clan of Saar, Naaz-Rokha Alliance, Titans of Ul","Xxcha Kingdom"," Yin Brotherhood"," Empyrean"," Clan of Saar"," Naaz-Rokha Alliance"," Titans of Ul","",""
8922,"Nomad, Keleres ~ Mentak, Naaz-Rokha Alliance, Mahact Gene-Sorcerers, Universities of Jol-Nar, Titans of Ul","Nomad"," Keleres ~ Mentak"," Naaz-Rokha Alliance"," Mahact Gene-Sorcerers"," Universities of Jol-Nar"," Titans of Ul","",""
8973,"Arborec, Embers of Muaat, Federation of Sol, Clan of Saar, Keleres ~ Mentak, Titans of Ul","Arborec"," Embers of Muaat"," Federation of Sol"," Clan of Saar"," Keleres ~ Mentak"," Titans of Ul","",""
8979,"Nekro Virus, Mahact Gene-Sorcerers, Clan of Saar, Naaz-Rokha Alliance, Empyrean, Titans of Ul","Nekro Virus"," Mahact Gene-Sorcerers"," Clan of Saar"," Naaz-Rokha Alliance"," Empyrean"," Titans of Ul","",""
8988,"Mentak Coalition, Naaz-Rokha Alliance, Keleres ~ Argent, Yin Brotherhood, Vuil'raith Cabal, Titans of Ul","Mentak Coalition"," Naaz-Rokha Alliance"," Keleres ~ Argent"," Yin Brotherhood"," Vuil'raith Cabal"," Titans of Ul","",""
8992,"Keleres ~ Xxcha, Clan of Saar, L1Z1X Mindnet, Nomad, Argent Flight, Titans of Ul","Keleres ~ Xxcha"," Clan of Saar"," L1Z1X Mindnet"," Nomad"," Argent Flight"," Titans of Ul","",""
9042,"Nekro Virus, Ghosts of Creuss, L1Z1X Mindnet, Yin Brotherhood, Naalu Collective, Titans of Ul","Nekro Virus"," Ghosts of Creuss"," L1Z1X Mindnet"," Yin Brotherhood"," Naalu Collective"," Titans of Ul","",""
9067,"Embers of Muaat, Barony of Letnev, L1Z1X Mindnet, Argent Flight, Federation of Sol, Titans of Ul","Embers of Muaat"," Barony of Letnev"," L1Z1X Mindnet"," Argent Flight"," Federation of Sol"," Titans of Ul","",""
9113,"Federation of Sol, Vuil'raith Cabal, Argent Flight, Ghosts of Creuss, Emirates of Hacan, Titans of Ul","Federation of Sol"," Vuil'raith Cabal"," Argent Flight"," Ghosts of Creuss"," Emirates of Hacan"," Titans of Ul","",""
9129,"Keleres ~ Mentak, Argent Flight, Vuil'raith Cabal, Emirates of Hacan, Sardakk N'orr, Titans of Ul","Keleres ~ Mentak"," Argent Flight"," Vuil'raith Cabal"," Emirates of Hacan"," Sardakk N'orr"," Titans of Ul","",""
9138,"Mahact Gene-Sorcerers, Vuil'raith Cabal, Clan of Saar, Naalu Collective, Federation of Sol, Titans of Ul","Mahact Gene-Sorcerers"," Vuil'raith Cabal"," Clan of Saar"," Naalu Collective"," Federation of Sol"," Titans of Ul","",""
9192,"Mentak Coalition, Sardakk N'orr, Clan of Saar, Naalu Collective, Federation of Sol, Titans of Ul","Mentak Coalition"," Sardakk N'orr"," Clan of Saar"," Naalu Collective"," Federation of Sol"," Titans of Ul","",""
9241,"Arborec, Nekro Virus, Emirates of Hacan, Empyrean, Naaz-Rokha Alliance, Titans of Ul","Arborec"," Nekro Virus"," Emirates of Hacan"," Empyrean"," Naaz-Rokha Alliance"," Titans of Ul","",""
9259,"Vuil'raith Cabal, Yin Brotherhood, Keleres ~ Mentak, Empyrean, Naaz-Rokha Alliance, Titans of Ul","Vuil'raith Cabal"," Yin Brotherhood"," Keleres ~ Mentak"," Empyrean"," Naaz-Rokha Alliance"," Titans of Ul","",""
9262,"Naaz-Rokha Alliance, Mentak Coalition, Arborec, Emirates of Hacan, Argent Flight, Titans of Ul","Naaz-Rokha Alliance"," Mentak Coalition"," Arborec"," Emirates of Hacan"," Argent Flight"," Titans of Ul","",""
9277,"Mentak Coalition, Empyrean, Keleres ~ Argent, Yssaril Tribes, Nekro Virus, Titans of Ul","Mentak Coalition"," Empyrean"," Keleres ~ Argent"," Yssaril Tribes"," Nekro Virus"," Titans of Ul","",""
9280,"Federation of Sol, Emirates of Hacan, Universities of Jol-Nar, Naalu Collective, Yssaril Tribes, Titans of Ul","Federation of Sol"," Emirates of Hacan"," Universities of Jol-Nar"," Naalu Collective"," Yssaril Tribes"," Titans of Ul","",""
9321,"Keleres ~ Mentak, Yin Brotherhood, Ghosts of Creuss, Nekro Virus, Universities of Jol-Nar, Titans of Ul","Keleres ~ Mentak"," Yin Brotherhood"," Ghosts of Creuss"," Nekro Virus"," Universities of Jol-Nar"," Titans of Ul","",""
9349,"Federation of Sol, Mentak Coalition, Nekro Virus, Universities of Jol-Nar, Empyrean, Titans of Ul","Federation of Sol"," Mentak Coalition"," Nekro Virus"," Universities of Jol-Nar"," Empyrean"," Titans of Ul","",""
9360,"Universities of Jol-Nar, Yssaril Tribes, Barony of Letnev, Nekro Virus, Mentak Coalition, Titans of Ul","Universities of Jol-Nar"," Yssaril Tribes"," Barony of Letnev"," Nekro Virus"," Mentak Coalition"," Titans of Ul","",""
9362,"Keleres ~ Mentak, Yin Brotherhood, Arborec, Naaz-Rokha Alliance, Vuil'raith Cabal, Titans of Ul","Keleres ~ Mentak"," Yin Brotherhood"," Arborec"," Naaz-Rokha Alliance"," Vuil'raith Cabal"," Titans of Ul","",""
9384,"Federation of Sol, Nekro Virus, Vuil'raith Cabal, Argent Flight, Clan of Saar, Titans of Ul","Federation of Sol"," Nekro Virus"," Vuil'raith Cabal"," Argent Flight"," Clan of Saar"," Titans of Ul","",""
9393,"L1Z1X Mindnet, Yssaril Tribes, Barony of Letnev, Universities of Jol-Nar, Empyrean, Titans of Ul","L1Z1X Mindnet"," Yssaril Tribes"," Barony of Letnev"," Universities of Jol-Nar"," Empyrean"," Titans of Ul","",""
9401,"Keleres ~ Mentak, Universities of Jol-Nar, Ghosts of Creuss, Empyrean, Mahact Gene-Sorcerers, Titans of Ul","Keleres ~ Mentak"," Universities of Jol-Nar"," Ghosts of Creuss"," Empyrean"," Mahact Gene-Sorcerers"," Titans of Ul","",""
9429,"Clan of Saar, Emirates of Hacan, Mentak Coalition, Naaz-Rokha Alliance, Nomad, Titans of Ul","Clan of Saar"," Emirates of Hacan"," Mentak Coalition"," Naaz-Rokha Alliance"," Nomad"," Titans of Ul","",""
9446,"Nekro Virus, Universities of Jol-Nar, Keleres ~ Mentak, Naaz-Rokha Alliance, L1Z1X Mindnet, Titans of Ul","Nekro Virus"," Universities of Jol-Nar"," Keleres ~ Mentak"," Naaz-Rokha Alliance"," L1Z1X Mindnet"," Titans of Ul","",""
9485,"Naalu Collective, Arborec, L1Z1X Mindnet, Clan of Saar, Barony of Letnev, Titans of Ul","Naalu Collective"," Arborec"," L1Z1X Mindnet"," Clan of Saar"," Barony of Letnev"," Titans of Ul","",""
9486,"Yssaril Tribes, Naaz-Rokha Alliance, Arborec, Empyrean, Universities of Jol-Nar, Titans of Ul","Yssaril Tribes"," Naaz-Rokha Alliance"," Arborec"," Empyrean"," Universities of Jol-Nar"," Titans of Ul","",""
9501,"Embers of Muaat, Universities of Jol-Nar, Sardakk N'orr, Barony of Letnev, Mentak Coalition, Titans of Ul","Embers of Muaat"," Universities of Jol-Nar"," Sardakk N'orr"," Barony of Letnev"," Mentak Coalition"," Titans of Ul","",""
9521,"Embers of Muaat, Argent Flight, Keleres ~ Mentak, Federation of Sol, Universities of Jol-Nar, Titans of Ul","Embers of Muaat"," Argent Flight"," Keleres ~ Mentak"," Federation of Sol"," Universities of Jol-Nar"," Titans of Ul","",""
9541,"Nomad, Sardakk N'orr, Yssaril Tribes, Vuil'raith Cabal, Universities of Jol-Nar, Titans of Ul","Nomad"," Sardakk N'orr"," Yssaril Tribes"," Vuil'raith Cabal"," Universities of Jol-Nar"," Titans of Ul","",""
9556,"Mentak Coalition, Naaz-Rokha Alliance, Embers of Muaat, Mahact Gene-Sorcerers, Argent Flight, Titans of Ul","Mentak Coalition"," Naaz-Rokha Alliance"," Embers of Muaat"," Mahact Gene-Sorcerers"," Argent Flight"," Titans of Ul","",""
9604,"Ghosts of Creuss, Universities of Jol-Nar, Mahact Gene-Sorcerers, Yssaril Tribes, Argent Flight, Titans of Ul","Ghosts of Creuss"," Universities of Jol-Nar"," Mahact Gene-Sorcerers"," Yssaril Tribes"," Argent Flight"," Titans of Ul","",""
9641,"Embers of Muaat, Federation of Sol, Empyrean, Nekro Virus, Barony of Letnev, Titans of Ul","Embers of Muaat"," Federation of Sol"," Empyrean"," Nekro Virus"," Barony of Letnev"," Titans of Ul","",""
9663,"Arborec, Naaz-Rokha Alliance, Keleres ~ Mentak, Federation of Sol, Barony of Letnev, Titans of Ul","Arborec"," Naaz-Rokha Alliance"," Keleres ~ Mentak"," Federation of Sol"," Barony of Letnev"," Titans of Ul","",""
9688,"Empyrean, Vuil'raith Cabal, Xxcha Kingdom, Nomad, Keleres ~ Mentak, Titans of Ul","Empyrean"," Vuil'raith Cabal"," Xxcha Kingdom"," Nomad"," Keleres ~ Mentak"," Titans of Ul","",""
9719,"L1Z1X Mindnet, Naaz-Rokha Alliance, Yssaril Tribes, Naalu Collective, Empyrean, Titans of Ul","L1Z1X Mindnet"," Naaz-Rokha Alliance"," Yssaril Tribes"," Naalu Collective"," Empyrean"," Titans of Ul","",""
9724,"Empyrean, Clan of Saar, L1Z1X Mindnet, Yssaril Tribes, Keleres ~ Mentak, Titans of Ul","Empyrean"," Clan of Saar"," L1Z1X Mindnet"," Yssaril Tribes"," Keleres ~ Mentak"," Titans of Ul","",""
9734,"Mahact Gene-Sorcerers, Vuil'raith Cabal, Ghosts of Creuss, Yssaril Tribes, Naalu Collective, Titans of Ul","Mahact Gene-Sorcerers"," Vuil'raith Cabal"," Ghosts of Creuss"," Yssaril Tribes"," Naalu Collective"," Titans of Ul","",""
9776,"Embers of Muaat, Vuil'raith Cabal, Naalu Collective, Xxcha Kingdom, Mahact Gene-Sorcerers, Titans of Ul","Embers of Muaat"," Vuil'raith Cabal"," Naalu Collective"," Xxcha Kingdom"," Mahact Gene-Sorcerers"," Titans of Ul","",""
9839,"Xxcha Kingdom, Winnu, Vuil'raith Cabal, Nomad, Federation of Sol, Titans of Ul","Xxcha Kingdom"," Winnu"," Vuil'raith Cabal"," Nomad"," Federation of Sol"," Titans of Ul","",""
9850,"Nomad, Empyrean, Embers of Muaat, Mahact Gene-Sorcerers, Keleres ~ Mentak, Titans of Ul","Nomad"," Empyrean"," Embers of Muaat"," Mahact Gene-Sorcerers"," Keleres ~ Mentak"," Titans of Ul","",""
9892,"Clan of Saar, Yin Brotherhood, Yssaril Tribes, Barony of Letnev, Universities of Jol-Nar, Titans of Ul","Clan of Saar"," Yin Brotherhood"," Yssaril Tribes"," Barony of Letnev"," Universities of Jol-Nar"," Titans of Ul","",""
9901,"Winnu, Mahact Gene-Sorcerers, Arborec, Embers of Muaat, Federation of Sol, Titans of Ul","Winnu"," Mahact Gene-Sorcerers"," Arborec"," Embers of Muaat"," Federation of Sol"," Titans of Ul","",""
9908,"Empyrean, Arborec, Keleres ~ Mentak, Argent Flight, Universities of Jol-Nar, Titans of Ul","Empyrean"," Arborec"," Keleres ~ Mentak"," Argent Flight"," Universities of Jol-Nar"," Titans of Ul","",""
9942,"Naalu Collective, Mentak Coalition, Xxcha Kingdom, Yin Brotherhood, Ghosts of Creuss, Titans of Ul","Naalu Collective"," Mentak Coalition"," Xxcha Kingdom"," Yin Brotherhood"," Ghosts of Creuss"," Titans of Ul","",""
9982,"Keleres ~ Mentak, Winnu, Federation of Sol, Naaz-Rokha Alliance, Mahact Gene-Sorcerers, Titans of Ul","Keleres ~ Mentak"," Winnu"," Federation of Sol"," Naaz-Rokha Alliance"," Mahact Gene-Sorcerers"," Titans of Ul","",""
